sample,time_feat,motion_feat,delta_hr_feat,mssd_feat,label
219,909,19,-21,2116,1
220,915,19,27,2116,1
221,918,19,0,2116,0
222,921,19,20,2116,0
223,924,19,1,256,0
224,927,19,-1,256,0
225,930,19,-27,256,0
226,933,19,28,256,0
227,936,19,21,256,0
228,939,19,-26,256,0
229,942,19,2,13856,0
230,945,19,-2,7376,0
231,948,19,-4,11236,0
232,951,19,-4,15876,0
233,954,19,-20,15876,0
234,957,19,-1,1296,0
235,960,19,0,0,0
236,966,19,26,0,0
237,972,19,-26,0,0
238,975,19,6,0,0
239,978,19,18,0,0
240,981,19,-18,0,0
241,984,19,19,0,0
242,987,19,-19,0,0
243,990,19,0,0,0
244,993,19,20,0,0
245,996,19,-27,0,0
246,999,19,1,1296,0
247,1002,19,-1,1296,0
248,1005,19,-19,1296,0
249,1008,19,0,1296,0
250,1011,19,20,1296,0
251,1020,19,33,1296,0
252,1023,19,0,1296,0
253,1026,19,-20,1296,0
254,1029,19,-9,1296,0
255,1032,19,2,3016,0
256,1035,19,-27,3016,0
257,1038,19,-30,-1,0
258,1041,19,0,-1,0
259,1044,19,1,1352,0
260,1047,19,0,512,0
261,1050,19,0,932,0
262,1053,19,1,1552,0
263,1059,19,8,1552,0
264,1062,19,5,9216,0
265,1065,19,1,-1,0
266,1068,19,32,-1,0
267,1071,19,-32,-1,0
268,1074,19,2,776,0
269,1077,19,0,1296,0
270,1080,19,-35,-1,0
271,1083,19,-3,1296,0
272,1086,19,-1,2116,0
273,1089,19,43,2116,0
274,1092,19,-35,-1,0
275,1095,19,3,2592,0
276,1098,19,0,0,0
277,1101,19,0,0,0
278,1104,19,34,-1,0
279,1107,19,11,-1,0
280,1110,19,2,1352,0
281,1113,19,-51,1352,0
282,1116,19,0,1296,0
283,1119,19,-2,1296,0
284,1122,19,2,1352,0
285,1125,19,-2,676,0
286,1128,19,2,-1,0
287,1131,19,-51,-1,0
288,1134,19,0,1652,0
289,1137,19,0,100,0
290,1140,19,0,-1,0
291,1143,19,-3,1396,0
292,1146,19,3,1396,0
293,1149,19,0,0,0
294,1152,19,0,100,0
295,1155,19,-33,100,0
296,1158,19,-3,3136,0
297,1161,19,-29,3136,0
298,1164,19,-10,3136,0
299,1167,19,6,3136,0
300,1170,19,-9,3136,0
301,1173,19,25,3136,0
302,1176,19,-27,3136,0
303,1179,19,2,3600,0
304,1182,19,0,18596,0
305,1185,19,-31,18596,0
306,1191,19,-8,18596,0
307,1194,19,0,400,0
308,1200,19,-25,400,0
309,1203,19,6,400,0
310,1206,19,-6,400,0
311,1209,19,0,900,0
312,1212,19,0,900,0
313,1215,19,-19,900,0
314,1221,19,27,900,0
315,1224,20,1,676,0
316,1227,22,1,676,0
317,1233,22,31,676,0
318,1239,20,-31,676,0
319,1242,18,-1,100,0
320,1245,18,1,400,0
321,1248,16,0,676,0
322,1254,16,26,676,0
323,1257,16,-1,676,0
324,1260,16,-25,676,0
325,1263,16,1,256,0
326,1266,16,-1,256,0
327,1269,16,-26,256,0
328,1272,16,-1,900,0
329,1275,16,0,900,0
330,1278,16,0,900,0
331,1281,16,19,900,0
332,1287,16,19,900,0
333,1290,16,-19,900,0
334,1293,16,0,400,0
335,1296,16,0,400,0
336,1299,16,0,400,0
337,1302,16,-19,400,0
338,1305,16,19,400,0
339,1311,16,19,400,0
340,1314,16,-19,400,0
341,1317,16,1,900,0
342,1320,16,29,900,0
343,1323,16,-5,10404,0
344,1329,16,-34,10404,0
345,1332,16,-2,10404,0
346,1338,16,-1,10404,0
347,1341,16,6,10404,0
348,1344,16,0,400,0
349,1353,16,29,400,0
350,1356,16,0,400,0
351,1359,16,-18,400,0
352,1362,16,18,400,0
353,1365,16,-24,400,0
354,1368,16,6,400,0
355,1371,16,18,400,0
356,1374,16,0,256,0
357,1380,15,-27,256,0
358,1386,16,3,256,0
359,1389,16,0,0,0
360,1392,16,0,0,0
361,1395,16,-24,0,0
362,1401,16,0,0,0
363,1407,16,0,0,0
364,1410,16,0,0,0
365,1413,16,24,0,0
366,1416,16,19,0,0
367,1419,16,-1,676,0
368,1425,16,18,676,0
369,1428,16,0,100,0
370,1431,16,1,1296,0
371,1434,16,-19,1296,0
372,1437,16,1,256,0
373,1443,16,-25,256,0
374,1446,16,24,256,0
375,1449,16,19,256,0
376,1455,16,-25,256,0
377,1458,16,0,256,0
378,1464,16,6,256,0
379,1467,16,-6,256,0
380,1470,16,25,256,0
381,1473,16,-25,256,0
382,1476,16,6,256,0
383,1479,16,1,676,0
384,1485,16,-19,676,0
385,1494,16,-13,676,0
386,1497,16,32,676,0
387,1500,16,-19,676,0
388,1503,16,0,676,0
389,1506,16,18,676,0
390,1509,16,19,676,0
391,1515,16,-28,676,0
392,1518,16,9,676,0
393,1521,16,0,0,0
394,1524,16,0,0,0
395,1530,16,-25,0,0
396,1533,16,19,0,0
397,1536,16,0,0,0
398,1539,15,1,0,0
399,1542,16,-26,0,0
400,1545,16,0,100,0
401,1551,16,-25,100,0
402,1563,15,32,100,0
403,1566,16,0,100,0
404,1569,15,19,100,0
405,1572,15,0,900,0
406,1578,15,-25,900,0
407,1584,16,-3,900,0
408,1587,16,28,900,0
409,1590,15,18,900,0
410,1593,15,0,900,0
411,1602,15,-28,900,0
412,1605,16,10,900,0
413,1608,15,1,196,0
414,1611,15,-2,1600,0
415,1614,16,-4,1600,0
416,1617,15,-37,1600,0
417,1620,15,4,1600,0
418,1623,15,0,0,0
419,1626,16,0,0,0
420,1629,16,-19,0,0
421,1632,15,19,0,0
422,1635,15,0,100,0
423,1638,15,0,400,0
424,1641,16,0,400,0
425,1650,16,-31,400,0
426,1656,15,3,400,0
427,1662,15,24,400,0
428,1668,15,-24,400,0
429,1671,16,6,400,0
430,1674,15,18,400,0
431,1680,15,28,400,0
432,1683,16,1,676,0
433,1686,15,-19,676,0
434,1692,15,18,676,0
435,1695,16,0,400,0
436,1698,15,-19,400,0
437,1704,15,-9,400,0
438,1707,15,9,400,0
439,1710,15,0,400,0
440,1713,16,19,400,0
441,1716,15,0,400,0
442,1719,15,17,400,0
443,1725,16,24,400,0
444,1728,15,0,0,0
445,1731,15,0,100,0
446,1737,15,-25,100,0
447,1740,15,0,36,0
448,1743,16,0,36,0
449,1746,15,0,36,0
450,1749,15,-24,36,0
451,1752,15,0,400,0
452,1758,15,-25,400,0
453,1761,16,24,400,0
454,1767,16,-27,400,0
455,1770,23,19,400,0
456,1776,23,18,400,0
457,1779,23,0,400,0
458,1782,23,-19,400,0
459,1788,23,27,400,0
460,1794,23,17,400,0
461,1797,23,-17,400,0
462,1800,23,18,400,0
463,1806,23,-27,400,1
464,1809,23,0,36,1
465,1812,23,0,400,1
466,1815,23,0,400,1
467,1818,23,25,400,1
468,1821,23,-25,400,1
469,1827,23,27,400,1
470,1833,23,24,400,1
471,1836,23,1,400,1
472,1839,23,-1,400,1
473,1842,23,-18,400,1
474,1845,23,18,400,1
475,1854,23,-29,400,1
476,1857,23,-1,1296,1
477,1860,23,0,1296,1
478,1869,23,-30,1296,1
479,1872,23,19,1296,1
480,1875,23,0,100,1
481,1881,23,-19,100,1
482,1884,23,0,100,1
483,1887,23,19,100,1
484,1890,23,0,100,1
485,1893,23,-19,100,1
486,1896,20,19,100,1
487,1902,23,-25,100,1
488,1905,23,6,100,1
489,1908,23,0,100,1
490,1911,23,19,100,1
491,1917,23,27,100,0
492,1920,23,-1,900,0
493,1923,23,1,900,0
494,1926,23,1,2116,0
495,1929,23,0,100,0
496,1941,23,-32,100,0
497,1947,23,2,100,0
498,1950,23,29,100,0
499,1953,23,1,100,0
500,1956,23,-25,100,0
501,1959,23,0,676,0
502,1962,23,0,1296,0
503,1965,23,-18,1296,0
504,1968,23,1,1296,0
505,1971,23,0,0,0
506,1974,23,-36,0,0
507,1977,23,16,0,0
508,1980,23,-25,0,0
509,1983,23,6,0,0
510,1986,23,1,2116,0
511,1992,23,-19,2116,0
512,1995,23,-6,2116,0
513,1998,23,6,2116,0
514,2001,23,-1,2116,0
515,2007,23,-6,2116,0
516,2013,23,-2,2116,0
517,2016,23,1,1296,0
518,2028,23,-31,1296,0
519,2031,23,32,1296,0
520,2034,23,-25,1296,0
521,2037,23,24,1296,0
522,2043,23,-27,1296,0
523,2046,23,1,100,0
524,2049,23,-1,2116,0
525,2052,23,-18,2116,0
526,2055,23,0,2116,0
527,2058,23,0,2116,1
528,2061,23,19,2116,1
529,2064,23,-19,2116,1
530,2067,23,0,100,1
531,2070,23,0,100,1
532,2073,23,-25,100,1
533,2076,23,0,16,1
534,2079,23,1,16,1
535,2088,23,-31,16,1
536,2091,23,12,16,1
537,2094,23,0,16,1
538,2097,23,-1,1296,1
539,2100,23,-18,1296,1
540,2103,23,18,1296,1
541,2106,23,-18,1296,1
542,2109,23,-1,3136,1
543,2112,23,1,3136,1
544,2115,23,19,3136,1
545,2118,23,0,3136,1
546,2121,23,-19,3136,1
547,2127,23,25,3136,1
548,2130,23,-1,3136,1
549,2133,23,-24,3136,1
550,2136,23,6,3136,1
551,2139,23,-1,2116,1
552,2148,23,28,2116,1
553,2151,23,-1,3136,1
554,2154,23,1,3136,1
555,2157,23,-25,3136,0
556,2160,23,24,3136,0
557,2163,23,0,100,0
558,2166,23,-1,100,0
559,2169,23,18,100,0
560,2172,23,0,100,0
561,2175,23,0,100,0
562,2178,23,0,100,0
563,2181,23,-24,100,0
564,2184,23,24,100,0
565,2193,23,-28,100,0
566,2196,23,18,100,0
567,2202,23,-27,100,0
568,2205,23,27,100,0
569,2211,23,-27,100,0
570,2214,23,9,100,1
571,2217,23,0,256,1
572,2223,23,-24,256,1
573,2226,23,0,1296,1
574,2229,23,-1,1296,1
575,2232,23,18,1296,1
576,2235,23,-18,1296,1
577,2238,23,18,1296,1
578,2241,23,0,1296,1
579,2250,23,31,1296,1
580,2256,23,-25,1296,1
581,2259,23,25,1296,1
582,2262,23,19,1296,1
583,2265,23,1,676,1
584,2271,23,-28,676,1
585,2277,23,19,676,1
586,2280,23,-19,676,1
587,2283,23,11,-1,1
588,2286,23,-4,-1,1
589,2289,23,26,-1,1
590,2292,23,-4,11716,1
591,2295,23,-5,11716,1
592,2298,23,-25,11716,1
593,2301,23,-2,11716,1
594,2304,23,19,11716,1
595,2307,23,-1,11716,1
596,2313,23,25,11716,1
597,2316,23,-19,11716,1
598,2319,23,18,11716,1
599,2325,23,28,11716,1
600,2328,23,-1,11716,1
601,2331,23,0,0,1
602,2334,23,1,1296,1
603,2337,23,-19,1296,1
604,2343,23,24,1296,1
605,2346,23,0,1296,1
606,2352,23,-24,1296,1
607,2358,23,26,1296,1
608,2361,23,1,1296,1
609,2364,23,0,0,1
610,2367,23,0,256,1
611,2373,23,-24,256,1
612,2376,23,19,256,1
613,2382,23,18,256,1
614,2385,23,1,256,1
615,2388,23,18,256,1
616,2391,23,1,256,1
617,2394,23,-25,256,1
618,2397,23,25,256,1
619,2400,23,-19,256,1
620,2409,23,-11,256,1
621,2412,23,11,256,1
622,2421,23,30,256,1
623,2424,23,0,256,1
624,2427,23,19,256,1
625,2430,23,-19,256,1
626,2436,23,25,256,1
627,2442,23,-25,256,1
628,2445,23,25,256,1
629,2448,23,-19,256,1
630,2451,23,18,256,1
631,2454,23,0,0,1
632,2457,23,-19,0,1
633,2463,23,0,0,1
634,2466,23,19,0,1
635,2469,23,-19,0,1
636,2472,23,0,100,1
637,2475,23,1,676,1
638,2481,23,-19,676,1
639,2487,23,-9,676,1
640,2490,23,9,676,1
641,2493,23,18,676,1
642,2496,23,0,0,1
643,2502,23,-19,0,1
644,2505,23,-6,0,1
645,2508,23,6,0,1
646,2511,23,0,100,0
647,2517,23,-28,100,0
648,2520,23,28,100,0
649,2523,23,19,100,0
650,2526,23,0,100,0
651,2529,23,0,100,0
652,2535,23,26,100,0
653,2541,23,-29,100,0
654,2544,23,28,100,0
655,2547,23,-19,100,0
656,2550,23,0,100,0
657,2553,23,0,100,0
658,2556,23,0,100,0
659,2559,23,-1,3136,0
660,2562,23,0,100,0
661,2568,23,25,100,0
662,2574,23,-25,100,0
663,2580,23,0,100,0
664,2583,23,-2,900,0
665,2586,23,-1,9620,0
666,2589,23,-6,9620,0
667,2592,23,17,9620,0
668,2595,23,0,9620,0
669,2598,23,-25,9620,0
670,2601,23,24,9620,0
671,2604,23,-18,9620,0
672,2607,23,19,9620,0
673,2613,23,-30,9620,0
674,2616,23,30,9620,0
675,2619,23,-19,9620,0
676,2622,23,-1,3136,0
677,2628,23,24,3136,0
678,2634,23,25,3136,0
679,2637,23,-1,3136,0
680,2649,23,-30,3136,0
681,2652,23,6,3136,0
682,2655,23,1,256,0
683,2661,23,-19,256,0
684,2664,23,18,256,0
685,2667,23,0,0,0
686,2670,23,-1,676,0
687,2673,23,0,0,0
688,2676,23,-19,0,0
689,2688,23,-12,0,0
690,2691,23,6,0,0
691,2694,23,24,0,0
692,2697,23,-18,0,0
693,2703,23,-9,0,0
694,2706,23,0,400,0
695,2709,23,0,0,0
696,2712,23,0,0,0
697,2718,23,28,0,0
698,2721,23,0,0,0
699,2724,23,0,0,0
700,2727,23,0,0,0
701,2733,23,-28,0,0
702,2736,23,3,0,0
703,2739,23,-1,1296,0
704,2748,23,-28,1296,0
705,2751,23,10,1296,0
706,2754,23,-6,1296,0
707,2757,23,24,1296,0
708,2760,23,-18,1296,0
709,2763,23,0,1296,0
710,2766,23,19,1296,0
711,2769,23,-25,1296,0
712,2772,23,6,1296,0
713,2775,23,0,1296,0
714,2781,23,-9,1296,0
715,2784,23,28,1296,0
716,2787,23,1,676,0
717,2790,23,-19,676,0
718,2793,23,0,676,0
719,2796,23,-18,676,0
720,2802,23,0,676,0
721,2805,23,-6,676,0
722,2811,23,0,676,0
723,2817,23,-3,676,0
724,2820,23,-16,676,0
725,2823,23,-2,2116,0
726,2832,23,-45,2116,0
727,2835,23,1,1296,0
728,2838,23,0,1296,0
729,2841,23,19,1296,0
730,2844,23,-1,676,0
731,2847,23,0,100,0
732,2850,23,1,676,0
733,2856,23,18,676,0
734,2859,23,1,676,0
735,2865,23,27,676,0
736,2868,23,1,676,0
737,2877,23,30,676,0
738,2880,23,0,676,0
739,2886,23,-28,676,0
740,2889,23,19,676,0
741,2892,23,-1,676,0
742,2895,23,1,676,0
743,2898,23,18,676,0
744,2904,23,-27,676,0
745,2907,23,-1,256,0
746,2910,23,-18,256,0
747,2913,23,19,256,0
748,2916,23,-19,256,0
749,2919,23,18,256,0
750,2922,23,-24,256,0
751,2925,23,25,256,0
752,2931,23,-28,256,0
753,2934,23,0,0,0
754,2937,23,-1,0,0
755,2940,23,-18,0,0
756,2943,23,0,0,0
757,2946,23,-6,0,0
758,2949,23,6,0,0
759,2955,23,0,0,0
760,2958,23,0,0,0
761,2961,23,18,0,0
762,2964,23,-18,0,0
763,2973,23,28,0,0
764,2979,23,-25,0,0
765,2982,23,18,0,0
766,2991,23,-29,0,0
767,2994,23,50,0,0
768,2997,23,33,-1,0
769,3000,23,36,-1,0
770,3003,23,-5,-1,0
771,3006,23,-29,-1,0
772,3009,23,19,-1,0
773,3012,23,0,100,0
774,3015,23,0,100,0
775,3021,23,28,100,0
776,3027,23,-25,100,0
777,3030,23,0,400,0
778,3033,23,0,100,0
779,3036,23,0,100,0
780,3039,23,19,100,0
781,3042,23,0,100,0
782,3045,23,19,100,0
783,3051,23,-25,100,0
784,3054,23,25,100,0
785,3060,23,-28,100,0
786,3063,23,9,100,0
787,3066,23,19,100,0
788,3069,23,0,100,0
789,3072,23,-19,100,1
790,3075,23,1,400,1
791,3084,23,-31,400,1
792,3093,23,3,400,1
793,3099,23,28,400,1
794,3102,23,0,400,1
795,3105,23,-19,400,1
796,3108,23,19,400,1
797,3111,23,0,400,1
798,3117,23,-28,400,1
799,3120,23,0,400,1
800,3123,23,-21,400,1
801,3126,23,-10,-1,1
802,3129,23,1,36,1
803,3135,23,-25,36,1
804,3138,23,6,36,1
805,3141,23,18,36,0
806,3144,23,-24,36,0
807,3147,23,6,36,0
808,3150,23,18,36,0
809,3156,23,-27,36,0
810,3159,23,0,100,0
811,3162,23,-1,100,0
812,3165,23,-24,100,0
813,3168,23,6,100,0
814,3180,23,31,100,0
815,3183,23,-19,100,0
816,3189,23,-6,100,0
817,3192,23,6,100,0
818,3198,23,-6,100,0
819,3201,23,19,100,0
820,3204,23,0,100,0
821,3207,23,-19,100,0
822,3210,23,-1,1296,0
823,3213,23,-1,1296,0
824,3216,23,1,1296,0
825,3219,23,0,0,0
826,3222,23,1,676,0
827,3231,23,-30,676,0
828,3234,23,11,676,0
829,3237,23,0,676,0
830,3240,23,0,676,0
831,3243,23,0,900,0
832,3246,23,0,100,0
833,3249,23,-19,100,0
834,3252,23,0,100,0
835,3255,23,1,676,0
836,3258,23,-1,676,0
837,3264,23,-27,676,0
838,3267,23,28,676,0
839,3270,23,-19,676,0
840,3273,23,-6,676,0
841,3276,23,0,100,0
842,3279,23,0,100,0
843,3288,23,28,100,0
844,3291,23,-1,3136,0
845,3294,23,1,3136,0
846,3300,23,-27,3136,0
847,3306,23,25,3136,0
848,3309,23,1,3136,0
849,3312,23,-1,256,0
850,3315,23,1,256,0
851,3318,23,0,100,0
852,3321,23,0,100,0
853,3324,23,0,100,0
854,3327,23,0,100,0
855,3330,23,-25,100,0
856,3333,23,1,2116,0
857,3342,23,-28,2116,0
858,3348,23,28,2116,0
859,3351,23,-19,2116,0
860,3363,23,30,2116,0
861,3366,23,0,0,0
862,3369,23,-19,0,0
863,3372,23,-1,256,0
864,3375,23,1,256,0
865,3381,23,25,256,0
866,3384,23,-1,1296,0
867,3387,23,0,1296,0
868,3399,23,-31,1296,0
869,3402,23,17,1296,0
870,3408,23,-23,1296,0
871,3411,23,5,1296,0
872,3414,23,1,1296,0
873,3417,23,0,1296,0
874,3420,23,0,1296,0
875,3429,23,27,1296,0
876,3432,23,0,1296,0
877,3435,23,19,1296,0
878,3438,23,0,1296,0
879,3441,23,-18,1296,0
880,3444,23,0,16,0
881,3447,23,1,16,0
882,3450,23,-25,16,0
883,3453,23,24,16,0
884,3465,23,32,16,0
885,3468,23,-1,16,0
886,3471,23,18,16,0
887,3474,23,-18,16,0
888,3477,23,18,16,0
889,3480,23,0,400,0
890,3483,23,-19,400,0
891,3489,23,-6,400,0
892,3492,23,18,400,0
893,3495,23,0,400,0
894,3498,23,-1,400,0
895,3501,23,18,400,0
896,3504,23,-18,400,0
897,3507,23,0,676,0
898,3510,23,1,676,0
899,3513,23,-19,676,0
900,3516,23,0,100,0
901,3519,23,-1,100,0
902,3522,23,-18,100,0
903,3525,23,-6,100,0
904,3528,23,25,100,0
905,3537,21,-30,100,0
906,3540,21,19,100,0
907,3543,21,0,100,0
908,3546,21,18,100,0
909,3549,21,-18,100,0
910,3552,21,1,100,0
911,3555,21,25,100,0
912,3558,21,35,100,0
913,3561,21,-2,100,0
914,3564,21,-28,100,0
915,3567,21,-10,100,0
916,3576,21,-6,100,0
917,3579,21,0,400,0
918,3582,21,0,400,0
919,3585,21,0,400,0
920,3588,21,-25,400,0
921,3591,21,6,400,0
922,3594,21,0,400,0
923,3597,21,-1,900,0
924,3600,21,1,900,0
925,3603,21,-1,900,0
926,3606,21,-18,900,0
927,3612,21,-10,900,0
928,3618,21,19,900,0
929,3621,21,0,900,0
930,3624,21,0,900,0
931,3627,21,-25,900,0
932,3630,21,0,100,0
933,3636,21,-25,100,0
934,3639,21,7,100,0
935,3645,21,24,100,0
936,3648,21,-17,100,0
937,3651,21,-1,100,0
938,3657,21,25,100,0
939,3663,21,-25,100,0
940,3666,21,6,100,0
941,3669,21,0,100,0
942,3672,21,-1,676,0
943,3675,21,1,676,0
944,3678,21,18,676,0
945,3681,21,-18,676,0
946,3684,21,19,676,0
947,3690,21,-28,676,0
948,3693,21,-1,2116,0
949,3696,21,-18,2116,0
950,3699,21,1,1296,0
951,3702,21,0,1296,0
952,3705,21,-19,1296,0
953,3711,21,-6,1296,0
954,3714,21,6,1296,0
955,3717,21,0,1296,0
956,3729,21,-14,1296,0
957,3732,21,14,1296,0
958,3735,21,0,1296,0
959,3738,21,18,1296,0
960,3741,21,19,1296,0
961,3744,21,-19,1296,0
962,3747,21,18,1296,0
963,3750,21,1,1296,0
964,3753,21,19,1296,0
965,3756,21,-19,1296,0
966,3759,21,0,400,0
967,3765,21,-25,400,0
968,3768,21,0,400,0
969,3774,21,19,400,0
970,3777,21,0,400,0
971,3783,21,-28,400,0
972,3786,21,3,400,0
973,3792,21,24,400,0
974,3795,21,-18,400,0
975,3801,21,0,400,0
976,3804,21,-6,400,0
977,3810,21,0,400,0
978,3813,21,6,400,0
979,3816,21,18,400,0
980,3819,21,17,400,0
981,3828,21,-28,400,0
982,3831,21,28,400,0
983,3837,21,-28,400,0
984,3840,21,0,36,0
985,3846,21,-24,36,0
986,3855,21,28,36,0
987,3858,21,1,36,0
988,3864,21,-24,36,0
989,3867,21,17,36,0
990,3870,21,-17,36,0
991,3873,21,-1,36,0
992,3885,21,30,36,0
993,3888,21,-18,36,0
994,3891,21,17,36,0
995,3894,22,-17,36,0
996,3903,22,-12,36,0
997,3906,22,-1,2116,0
998,3912,22,-23,2116,0
999,3915,22,-1,3136,0
1000,3918,22,-1,900,0
1001,3921,22,-1,676,0
1002,3924,22,0,0,0
1003,3927,22,-19,0,0
1004,3933,22,49,0,0
1005,3936,22,23,-1,0
1006,3939,22,-45,-1,0
1007,3942,22,0,-1,0
1008,3945,22,18,-1,0
1009,3948,22,1,-1,0
1010,3951,22,18,-1,0
1011,3954,22,1,-1,0
1012,3957,22,19,-1,0
1013,3960,22,1,676,0
1014,3963,22,0,676,0
1015,3966,22,-19,676,0
1016,3969,22,0,100,0
1017,3972,22,0,196,0
1018,3975,22,-18,196,0
1019,3978,22,0,196,0
1020,3981,22,19,196,0
1021,3984,22,-19,196,0
1022,3987,22,0,196,0
1023,3990,22,0,0,0
1024,3996,22,24,0,0
1025,3999,22,-18,0,0
1026,4002,22,18,0,0
1027,4005,22,-18,0,0
1028,4008,22,0,0,0
1029,4011,22,0,0,0
1030,4017,22,24,0,0
1031,4020,22,1,0,0
1032,4023,22,0,400,0
1033,4032,22,-30,400,0
