sample,time_feat,motion_feat,delta_hr_feat,mssd_feat
242,987,19,-19,0
243,990,19,0,0
244,993,19,20,0
245,996,19,-27,0
246,999,19,1,1296
247,1002,19,-1,1296
248,1005,19,-19,1296
249,1008,19,0,1296
250,1011,19,20,1296
251,1020,19,33,1296
252,1023,19,0,1296
253,1026,19,-20,1296
254,1029,19,-9,1296
255,1032,19,2,3016
256,1035,19,-27,3016
257,1038,19,-30,-1
258,1041,19,0,-1
259,1044,19,1,1352
260,1047,19,0,512
261,1050,19,0,932
262,1053,19,1,1552
263,1059,19,8,1552
264,1062,19,5,9216
265,1065,19,1,-1
266,1068,19,32,-1
267,1071,19,-32,-1
268,1074,19,2,776
269,1077,19,0,1296
270,1080,19,-35,-1
271,1083,19,-3,1296
272,1086,19,-1,2116
273,1089,19,43,2116
274,1092,19,-35,-1
275,1095,19,3,2592
276,1098,19,0,0
277,1101,19,0,0
278,1104,19,34,-1
279,1107,19,11,-1
280,1110,19,2,1352
281,1113,19,-51,1352
282,1116,19,0,1296
283,1119,19,-2,1296
284,1122,19,2,1352
285,1125,19,-2,676
286,1128,19,2,-1
287,1131,19,-51,-1
288,1134,19,0,1652
289,1137,19,0,100
290,1140,19,0,-1
291,1143,19,-3,1396
292,1146,19,3,1396
293,1149,19,0,0
294,1152,19,0,100
295,1155,19,-33,100
296,1158,19,-3,3136
297,1161,19,-29,3136
298,1164,19,-10,3136
299,1167,19,6,3136
300,1170,19,-9,3136
301,1173,19,25,3136
302,1176,19,-27,3136
303,1179,19,2,3600
304,1182,19,0,18596
305,1185,19,-31,18596
306,1191,19,-8,18596
307,1194,19,0,400
308,1200,19,-25,400
309,1203,19,6,400
310,1206,19,-6,400
311,1209,19,0,900
312,1212,19,0,900
313,1215,19,-19,900
314,1221,19,27,900
315,1224,20,1,676
316,1227,22,1,676
317,1233,22,31,676
318,1239,20,-31,676
319,1242,18,-1,100
320,1245,18,1,400
321,1248,16,0,676
322,1254,16,26,676
323,1257,16,-1,676
324,1260,16,-25,676
325,1263,16,1,256
326,1266,16,-1,256
327,1269,16,-26,256
328,1272,16,-1,900
329,1275,16,0,900
330,1278,16,0,900
331,1281,16,19,900
332,1287,16,19,900
333,1290,16,-19,900
334,1293,16,0,400
335,1296,16,0,400
336,1299,16,0,400
337,1302,16,-19,400
338,1305,16,19,400
339,1311,16,19,400
340,1314,16,-19,400
341,1317,16,1,900
342,1320,16,29,900
343,1323,16,-5,10404
344,1329,16,-34,10404
345,1332,16,-2,10404
346,1338,16,-1,10404
347,1341,16,6,10404
348,1344,16,0,400
349,1353,16,29,400
350,1356,16,0,400
351,1359,16,-18,400
352,1362,16,18,400
353,1365,16,-24,400
354,1368,16,6,400
355,1371,16,18,400
356,1374,16,0,256
357,1380,15,-27,256
358,1386,16,3,256
359,1389,16,0,0
360,1392,16,0,0
361,1395,16,-24,0
362,1401,16,0,0
363,1407,16,0,0
364,1410,16,0,0
365,1413,16,24,0
366,1416,16,19,0
367,1419,16,-1,676
368,1425,16,18,676
369,1428,16,0,100
370,1431,16,1,1296
371,1434,16,-19,1296
372,1437,16,1,256
373,1443,16,-25,256
374,1446,16,24,256
375,1449,16,19,256
376,1455,16,-25,256
377,1458,16,0,256
378,1464,16,6,256
379,1467,16,-6,256
380,1470,16,25,256
381,1473,16,-25,256
382,1476,16,6,256
383,1479,16,1,676
384,1485,16,-19,676
385,1494,16,-13,676
386,1497,16,32,676
387,1500,16,-19,676
388,1503,16,0,676
389,1506,16,18,676
390,1509,16,19,676
391,1515,16,-28,676
392,1518,16,9,676
393,1521,16,0,0
394,1524,16,0,0
395,1530,16,-25,0
396,1533,16,19,0
397,1536,16,0,0
398,1539,15,1,0
399,1542,16,-26,0
400,1545,16,0,100
401,1551,16,-25,100
402,1563,15,32,100
403,1566,16,0,100
404,1569,15,19,100
405,1572,15,0,900
406,1578,15,-25,900
407,1584,16,-3,900
408,1587,16,28,900
409,1590,15,18,900
410,1593,15,0,900
411,1602,15,-28,900
412,1605,16,10,900
413,1608,15,1,196
414,1611,15,-2,1600
415,1614,16,-4,1600
416,1617,15,-37,1600
417,1620,15,4,1600
418,1623,15,0,0
419,1626,16,0,0
420,1629,16,-19,0
421,1632,15,19,0
422,1635,15,0,100
423,1638,15,0,400
424,1641,16,0,400
425,1650,16,-31,400
426,1656,15,3,400
427,1662,15,24,400
428,1668,15,-24,400
429,1671,16,6,400
430,1674,15,18,400
431,1680,15,28,400
432,1683,16,1,676
433,1686,15,-19,676
434,1692,15,18,676
435,1695,16,0,400
436,1698,15,-19,400
437,1704,15,-9,400
438,1707,15,9,400
439,1710,15,0,400
440,1713,16,19,400
441,1716,15,0,400
442,1719,15,17,400
443,1725,16,24,400
444,1728,15,0,0
445,1731,15,0,100
446,1737,15,-25,100
447,1740,15,0,36
448,1743,16,0,36
449,1746,15,0,36
450,1749,15,-24,36
451,1752,15,0,400
452,1758,15,-25,400
453,1761,16,24,400
454,1767,16,-27,400
455,1770,23,19,400
456,1776,23,18,400
457,1779,23,0,400
458,1782,23,-19,400
459,1788,23,27,400
460,1794,23,17,400
461,1797,23,-17,400
462,1800,23,18,400
463,1806,23,-27,400
464,1809,23,0,36
465,1812,23,0,400
466,1815,23,0,400
467,1818,23,25,400
468,1821,23,-25,400
469,1827,23,27,400
470,1833,23,24,400
471,1836,23,1,400
472,1839,23,-1,400
473,1842,23,-18,400
474,1845,23,18,400
475,1854,23,-29,400
476,1857,23,-1,1296
477,1860,23,0,1296
478,1869,23,-30,1296
479,1872,23,19,1296
480,1875,23,0,100
481,1881,23,-19,100
482,1884,23,0,100
483,1887,23,19,100
484,1890,23,0,100
485,1893,23,-19,100
486,1896,20,19,100
487,1902,23,-25,100
488,1905,23,6,100
489,1908,23,0,100
490,1911,23,19,100
491,1917,23,27,100
492,1920,23,-1,900
493,1923,23,1,900
494,1926,23,1,2116
495,1929,23,0,100
496,1941,23,-32,100
497,1947,23,2,100
498,1950,23,29,100
499,1953,23,1,100
500,1956,23,-25,100
501,1959,23,0,676
502,1962,23,0,1296
503,1965,23,-18,1296
504,1968,23,1,1296
505,1971,23,0,0
506,1974,23,-36,0
507,1977,23,16,0
508,1980,23,-25,0
509,1983,23,6,0
510,1986,23,1,2116
511,1992,23,-19,2116
512,1995,23,-6,2116
513,1998,23,6,2116
514,2001,23,-1,2116
515,2007,23,-6,2116
516,2013,23,-2,2116
517,2016,23,1,1296
518,2028,23,-31,1296
519,2031,23,32,1296
520,2034,23,-25,1296
521,2037,23,24,1296
522,2043,23,-27,1296
523,2046,23,1,100
524,2049,23,-1,2116
525,2052,23,-18,2116
526,2055,23,0,2116
527,2058,23,0,2116
528,2061,23,19,2116
529,2064,23,-19,2116
530,2067,23,0,100
531,2070,23,0,100
532,2073,23,-25,100
533,2076,23,0,16
534,2079,23,1,16
535,2088,23,-31,16
536,2091,23,12,16
537,2094,23,0,16
538,2097,23,-1,1296
539,2100,23,-18,1296
540,2103,23,18,1296
541,2106,23,-18,1296
542,2109,23,-1,3136
543,2112,23,1,3136
544,2115,23,19,3136
545,2118,23,0,3136
546,2121,23,-19,3136
547,2127,23,25,3136
548,2130,23,-1,3136
549,2133,23,-24,3136
550,2136,23,6,3136
551,2139,23,-1,2116
552,2148,23,28,2116
553,2151,23,-1,3136
554,2154,23,1,3136
555,2157,23,-25,3136
556,2160,23,24,3136
557,2163,23,0,100
558,2166,23,-1,100
559,2169,23,18,100
560,2172,23,0,100
561,2175,23,0,100
562,2178,23,0,100
563,2181,23,-24,100
564,2184,23,24,100
565,2193,23,-28,100
566,2196,23,18,100
567,2202,23,-27,100
568,2205,23,27,100
569,2211,23,-27,100
570,2214,23,9,100
571,2217,23,0,256
572,2223,23,-24,256
573,2226,23,0,1296
574,2229,23,-1,1296
575,2232,23,18,1296
576,2235,23,-18,1296
577,2238,23,18,1296
578,2241,23,0,1296
579,2250,23,31,1296
580,2256,23,-25,1296
581,2259,23,25,1296
582,2262,23,19,1296
583,2265,23,1,676
584,2271,23,-28,676
585,2277,23,19,676
586,2280,23,-19,676
587,2283,23,11,-1
588,2286,23,-4,-1
589,2289,23,26,-1
590,2292,23,-4,11716
591,2295,23,-5,11716
592,2298,23,-25,11716
593,2301,23,-2,11716
594,2304,23,19,11716
595,2307,23,-1,11716
596,2313,23,25,11716
597,2316,23,-19,11716
598,2319,23,18,11716
599,2325,23,28,11716
600,2328,23,-1,11716
601,2331,23,0,0
602,2334,23,1,1296
603,2337,23,-19,1296
604,2343,23,24,1296
605,2346,23,0,1296
606,2352,23,-24,1296
607,2358,23,26,1296
608,2361,23,1,1296
609,2364,23,0,0
610,2367,23,0,256
611,2373,23,-24,256
612,2376,23,19,256
613,2382,23,18,256
614,2385,23,1,256
615,2388,23,18,256
616,2391,23,1,256
617,2394,23,-25,256
618,2397,23,25,256
619,2400,23,-19,256
620,2409,23,-11,256
621,2412,23,11,256
622,2421,23,30,256
623,2424,23,0,256
624,2427,23,19,256
625,2430,23,-19,256
626,2436,23,25,256
627,2442,23,-25,256
628,2445,23,25,256
629,2448,23,-19,256
630,2451,23,18,256
631,2454,23,0,0
632,2457,23,-19,0
633,2463,23,0,0
634,2466,23,19,0
635,2469,23,-19,0
636,2472,23,0,100
637,2475,23,1,676
638,2481,23,-19,676
639,2487,23,-9,676
640,2490,23,9,676
641,2493,23,18,676
642,2496,23,0,0
643,2502,23,-19,0
644,2505,23,-6,0
645,2508,23,6,0
646,2511,23,0,100
647,2517,23,-28,100
648,2520,23,28,100
649,2523,23,19,100
650,2526,23,0,100
651,2529,23,0,100
652,2535,23,26,100
653,2541,23,-29,100
654,2544,23,28,100
655,2547,23,-19,100
656,2550,23,0,100
657,2553,23,0,100
658,2556,23,0,100
659,2559,23,-1,3136
660,2562,23,0,100
661,2568,23,25,100
662,2574,23,-25,100
663,2580,23,0,100
664,2583,23,-2,900
665,2586,23,-1,9620
666,2589,23,-6,9620
667,2592,23,17,9620
668,2595,23,0,9620
669,2598,23,-25,9620
670,2601,23,24,9620
671,2604,23,-18,9620
672,2607,23,19,9620
673,2613,23,-30,9620
674,2616,23,30,9620
675,2619,23,-19,9620
676,2622,23,-1,3136
677,2628,23,24,3136
678,2634,23,25,3136
679,2637,23,-1,3136
680,2649,23,-30,3136
681,2652,23,6,3136
682,2655,23,1,256
683,2661,23,-19,256
684,2664,23,18,256
685,2667,23,0,0
686,2670,23,-1,676
687,2673,23,0,0
688,2676,23,-19,0
689,2688,23,-12,0
690,2691,23,6,0
691,2694,23,24,0
692,2697,23,-18,0
693,2703,23,-9,0
694,2706,23,0,400
695,2709,23,0,0
696,2712,23,0,0
697,2718,23,28,0
698,2721,23,0,0
699,2724,23,0,0
700,2727,23,0,0
701,2733,23,-28,0
702,2736,23,3,0
703,2739,23,-1,1296
704,2748,23,-28,1296
705,2751,23,10,1296
706,2754,23,-6,1296
707,2757,23,24,1296
708,2760,23,-18,1296
709,2763,23,0,1296
710,2766,23,19,1296
711,2769,23,-25,1296
712,2772,23,6,1296
713,2775,23,0,1296
714,2781,23,-9,1296
715,2784,23,28,1296
716,2787,23,1,676
717,2790,23,-19,676
718,2793,23,0,676
719,2796,23,-18,676
720,2802,23,0,676
721,2805,23,-6,676
722,2811,23,0,676
723,2817,23,-3,676
724,2820,23,-16,676
725,2823,23,-2,2116
726,2832,23,-45,2116
727,2835,23,1,1296
728,2838,23,0,1296
729,2841,23,19,1296
730,2844,23,-1,676
731,2847,23,0,100
732,2850,23,1,676
733,2856,23,18,676
734,2859,23,1,676
735,2865,23,27,676
736,2868,23,1,676
737,2877,23,30,676
738,2880,23,0,676
739,2886,23,-28,676
740,2889,23,19,676
741,2892,23,-1,676
742,2895,23,1,676
743,2898,23,18,676
744,2904,23,-27,676
745,2907,23,-1,256
746,2910,23,-18,256
747,2913,23,19,256
748,2916,23,-19,256
749,2919,23,18,256
750,2922,23,-24,256
751,2925,23,25,256
752,2931,23,-28,256
753,2934,23,0,0
754,2937,23,-1,0
755,2940,23,-18,0
756,2943,23,0,0
757,2946,23,-6,0
758,2949,23,6,0
759,2955,23,0,0
760,2958,23,0,0
761,2961,23,18,0
762,2964,23,-18,0
763,2973,23,28,0
764,2979,23,-25,0
765,2982,23,18,0
766,2991,23,-29,0
767,2994,23,50,0
768,2997,23,33,-1
769,3000,23,36,-1
770,3003,23,-5,-1
771,3006,23,-29,-1
772,3009,23,19,-1
773,3012,23,0,100
774,3015,23,0,100
775,3021,23,28,100
776,3027,23,-25,100
777,3030,23,0,400
778,3033,23,0,100
779,3036,23,0,100
780,3039,23,19,100
781,3042,23,0,100
782,3045,23,19,100
783,3051,23,-25,100
784,3054,23,25,100
785,3060,23,-28,100
786,3063,23,9,100
787,3066,23,19,100
788,3069,23,0,100
789,3072,23,-19,100
790,3075,23,1,400
791,3084,23,-31,400
792,3093,23,3,400
793,3099,23,28,400
794,3102,23,0,400
795,3105,23,-19,400
796,3108,23,19,400
797,3111,23,0,400
798,3117,23,-28,400
799,3120,23,0,400
800,3123,23,-21,400
801,3126,23,-10,-1
802,3129,23,1,36
803,3135,23,-25,36
804,3138,23,6,36
805,3141,23,18,36
806,3144,23,-24,36
807,3147,23,6,36
808,3150,23,18,36
809,3156,23,-27,36
810,3159,23,0,100
811,3162,23,-1,100
812,3165,23,-24,100
813,3168,23,6,100
814,3180,23,31,100
815,3183,23,-19,100
816,3189,23,-6,100
817,3192,23,6,100
818,3198,23,-6,100
819,3201,23,19,100
820,3204,23,0,100
821,3207,23,-19,100
822,3210,23,-1,1296
823,3213,23,-1,1296
824,3216,23,1,1296
825,3219,23,0,0
826,3222,23,1,676
827,3231,23,-30,676
828,3234,23,11,676
829,3237,23,0,676
830,3240,23,0,676
831,3243,23,0,900
832,3246,23,0,100
833,3249,23,-19,100
834,3252,23,0,100
835,3255,23,1,676
836,3258,23,-1,676
837,3264,23,-27,676
838,3267,23,28,676
839,3270,23,-19,676
840,3273,23,-6,676
841,3276,23,0,100
842,3279,23,0,100
843,3288,23,28,100
844,3291,23,-1,3136
845,3294,23,1,3136
846,3300,23,-27,3136
847,3306,23,25,3136
848,3309,23,1,3136
849,3312,23,-1,256
850,3315,23,1,256
851,3318,23,0,100
852,3321,23,0,100
853,3324,23,0,100
854,3327,23,0,100
855,3330,23,-25,100
856,3333,23,1,2116
857,3342,23,-28,2116
858,3348,23,28,2116
859,3351,23,-19,2116
860,3363,23,30,2116
861,3366,23,0,0
862,3369,23,-19,0
863,3372,23,-1,256
864,3375,23,1,256
865,3381,23,25,256
866,3384,23,-1,1296
867,3387,23,0,1296
868,3399,23,-31,1296
869,3402,23,17,1296
870,3408,23,-23,1296
871,3411,23,5,1296
872,3414,23,1,1296
873,3417,23,0,1296
874,3420,23,0,1296
875,3429,23,27,1296
876,3432,23,0,1296
877,3435,23,19,1296
878,3438,23,0,1296
879,3441,23,-18,1296
880,3444,23,0,16
881,3447,23,1,16
882,3450,23,-25,16
883,3453,23,24,16
884,3465,23,32,16
885,3468,23,-1,16
886,3471,23,18,16
887,3474,23,-18,16
888,3477,23,18,16
889,3480,23,0,400
890,3483,23,-19,400
891,3489,23,-6,400
892,3492,23,18,400
893,3495,23,0,400
894,3498,23,-1,400
895,3501,23,18,400
896,3504,23,-18,400
897,3507,23,0,676
898,3510,23,1,676
899,3513,23,-19,676
900,3516,23,0,100
901,3519,23,-1,100
902,3522,23,-18,100
903,3525,23,-6,100
904,3528,23,25,100
905,3537,21,-30,100
906,3540,21,19,100
907,3543,21,0,100
908,3546,21,18,100
909,3549,21,-18,100
910,3552,21,1,100
911,3555,21,25,100
912,3558,21,35,100
913,3561,21,-2,100
914,3564,21,-28,100
915,3567,21,-10,100
916,3576,21,-6,100
917,3579,21,0,400
918,3582,21,0,400
919,3585,21,0,400
920,3588,21,-25,400
921,3591,21,6,400
922,3594,21,0,400
923,3597,21,-1,900
924,3600,21,1,900
925,3603,21,-1,900
926,3606,21,-18,900
927,3612,21,-10,900
928,3618,21,19,900
929,3621,21,0,900
930,3624,21,0,900
931,3627,21,-25,900
932,3630,21,0,100
933,3636,21,-25,100
934,3639,21,7,100
935,3645,21,24,100
936,3648,21,-17,100
937,3651,21,-1,100
938,3657,21,25,100
939,3663,21,-25,100
940,3666,21,6,100
941,3669,21,0,100
942,3672,21,-1,676
943,3675,21,1,676
944,3678,21,18,676
945,3681,21,-18,676
946,3684,21,19,676
947,3690,21,-28,676
948,3693,21,-1,2116
949,3696,21,-18,2116
950,3699,21,1,1296
951,3702,21,0,1296
952,3705,21,-19,1296
953,3711,21,-6,1296
954,3714,21,6,1296
955,3717,21,0,1296
956,3729,21,-14,1296
957,3732,21,14,1296
958,3735,21,0,1296
959,3738,21,18,1296
960,3741,21,19,1296
961,3744,21,-19,1296
962,3747,21,18,1296
963,3750,21,1,1296
964,3753,21,19,1296
965,3756,21,-19,1296
966,3759,21,0,400
967,3765,21,-25,400
968,3768,21,0,400
969,3774,21,19,400
970,3777,21,0,400
971,3783,21,-28,400
972,3786,21,3,400
973,3792,21,24,400
974,3795,21,-18,400
975,3801,21,0,400
976,3804,21,-6,400
977,3810,21,0,400
978,3813,21,6,400
979,3816,21,18,400
980,3819,21,17,400
981,3828,21,-28,400
982,3831,21,28,400
983,3837,21,-28,400
984,3840,21,0,36
985,3846,21,-24,36
986,3855,21,28,36
987,3858,21,1,36
988,3864,21,-24,36
989,3867,21,17,36
990,3870,21,-17,36
991,3873,21,-1,36
992,3885,21,30,36
993,3888,21,-18,36
994,3891,21,17,36
995,3894,22,-17,36
996,3903,22,-12,36
997,3906,22,-1,2116
998,3912,22,-23,2116
999,3915,22,-1,3136
1000,3918,22,-1,900
1001,3921,22,-1,676
1002,3924,22,0,0
1003,3927,22,-19,0
1004,3933,22,49,0
1005,3936,22,23,-1
1006,3939,22,-45,-1
1007,3942,22,0,-1
1008,3945,22,18,-1
1009,3948,22,1,-1
1010,3951,22,18,-1
1011,3954,22,1,-1
1012,3957,22,19,-1
1013,3960,22,1,676
1014,3963,22,0,676
1015,3966,22,-19,676
1016,3969,22,0,100
1017,3972,22,0,196
1018,3975,22,-18,196
1019,3978,22,0,196
1020,3981,22,19,196
1021,3984,22,-19,196
1022,3987,22,0,196
1023,3990,22,0,0
1024,3996,22,24,0
1025,3999,22,-18,0
1026,4002,22,18,0
1027,4005,22,-18,0
1028,4008,22,0,0
1029,4011,22,0,0
1030,4017,22,24,0
1031,4020,22,1,0
1032,4023,22,0,400
1033,4032,22,-30,400
1034,4035,22,11,400
1035,4038,22,0,400
1036,4041,22,0,400
1037,4044,22,1,900
1038,4047,22,0,900
1039,4050,22,19,900
1040,4053,22,0,676
1041,4062,22,-27,676
1042,4068,22,27,676
1043,4071,22,1,676
1044,4077,22,-25,676
1045,4083,22,-3,676
1046,4086,22,3,676
1047,4089,22,0,900
1048,4092,22,0,900
1049,4098,22,-28,900
1050,4101,22,0,100
1051,4110,23,31,100
1052,4113,22,0,0
1053,4116,22,0,400
1054,4119,22,0,0
1055,4122,22,0,100
1056,4128,23,19,100
1057,4131,22,-19,100
1058,4137,22,25,100
1059,4140,23,-19,100
1060,4143,22,0,100
1061,4149,22,-25,100
1062,4152,22,6,100
1063,4155,22,0,100
1064,4158,23,0,100
1065,4161,22,0,100
1066,4164,22,0,100
1067,4167,22,19,100
1068,4173,22,-30,100
1069,4176,22,30,100
1070,4179,22,-19,100
1071,4182,22,0,100
1072,4185,22,19,100
1073,4188,23,-25,100
1074,4194,22,0,100
1075,4197,23,19,100
1076,4203,22,-25,100
1077,4206,22,0,100
1078,4209,22,0,100
1079,4215,23,-28,100
1080,4218,22,19,100
1081,4221,22,0,400
1082,4224,22,1,400
1083,4227,23,0,100
1084,4233,22,19,100
1085,4236,22,0,0
1086,4242,22,25,0
1087,4245,23,0,0
1088,4248,22,19,0
1089,4254,22,25,0
1090,4257,23,0,0
1091,4263,22,-25,0
1092,4272,22,31,0
1093,4275,22,0,0
1094,4278,22,-25,0
1095,4281,22,6,0
1096,4284,22,19,0
1097,4287,23,0,0
1098,4290,22,-25,0
1099,4293,22,25,0
1100,4296,22,-19,0
1101,4299,23,0,0
1102,4302,22,-6,0
1103,4305,22,25,0
1104,4308,22,0,0
1105,4311,22,19,0
1106,4314,22,0,0
1107,4317,23,-25,0
1108,4320,22,6,0
1109,4326,22,25,0
1110,4329,23,-19,0
1111,4332,22,19,0
1112,4335,22,0,400
1113,4341,22,25,400
1114,4344,22,0,400
1115,4347,23,0,400
1116,4350,22,-19,400
1117,4353,22,0,400
1118,4359,22,-6,400
1119,4362,22,19,400
1120,4365,22,-19,400
1121,4368,22,0,400
1122,4371,22,1,1296
1123,4374,23,-19,1296
1124,4377,22,19,1296
1125,4380,22,0,400
1126,4383,22,0,900
1127,4386,23,0,900
1128,4389,22,-19,900
1129,4395,22,28,900
1130,4398,23,0,900
1131,4401,22,-19,900
1132,4404,23,19,900
1133,4407,22,-19,900
1134,4410,22,18,900
1135,4416,23,-24,900
1136,4419,22,6,900
1137,4422,22,1,3136
1138,4425,22,1,900
1139,4428,23,1,1296
1140,4431,22,-1,676
1141,4434,22,-18,676
1142,4437,22,0,676
1143,4440,22,19,676
1144,4443,22,-19,676
1145,4446,23,0,100
1146,4449,22,0,36
1147,4452,22,-18,36
1148,4458,23,-6,36
1149,4461,22,-1,900
1150,4464,22,1,1296
1151,4467,22,-19,1296
1152,4473,22,24,1296
1153,4476,23,-18,1296
1154,4482,22,0,1296
1155,4488,23,-11,1296
1156,4491,22,1,676
1157,4500,22,-30,676
1158,4503,22,1,256
1159,4506,23,0,100
1160,4509,22,0,100
1161,4512,22,19,100
1162,4515,23,-19,100
1163,4533,23,-15,100
1164,4536,22,0,400
1165,4542,22,-28,400
1166,4545,23,28,400
1167,4548,22,-19,400
1168,4551,22,0,400
1169,4554,22,1,400
1170,4560,22,24,400
1171,4563,22,-18,400
1172,4566,22,0,400
1173,4572,22,-6,400
1174,4575,22,-1,256
1175,4581,22,25,256
1176,4584,22,0,36
1177,4587,22,1,36
1178,4590,22,-19,36
1179,4593,22,19,36
1180,4596,22,-25,36
1181,4599,22,3,15876
1182,4602,22,-22,15876
1183,4605,22,-2,1600
1184,4608,22,-28,1600
1185,4611,22,-3,11236
1186,4614,22,-1,256
1187,4617,22,-18,256
1188,4620,22,20,256
1189,4623,22,37,256
1190,4626,22,14,256
1191,4629,22,1,256
1192,4632,22,-25,256
1193,4635,22,24,256
1194,4638,22,-18,256
1195,4641,22,0,256
1196,4644,22,0,256
1197,4650,22,25,256
1198,4653,22,-19,256
1199,4659,22,19,256
1200,4662,22,-1,1296
